session_id,t_ms,type,human_present,range_cm,total_phase,breath_phase,heart_phase,breath_rate,heart_rate,quality_flag
radar_s001,11387,phase,1,22.960,-0.228,-0.087,0.176,8.000,,0
radar_s001,11459,text,1,22.960,-0.228,-0.087,0.176,8.000,,0
radar_s001,11530,0x0a38,1,22.960,-0.228,-0.087,0.176,8.000,,0
radar_s001,11596,0x0a38,1,22.960,-0.228,-0.087,0.176,8.000,,0
radar_s001,11661,human_status,1,22.960,-0.228,-0.087,0.176,8.000,,0
radar_s001,11727,phase,1,22.960,-0.098,-0.064,-0.149,8.000,,0
radar_s001,11799,0x0a38,1,22.960,-0.098,-0.064,-0.149,8.000,,0
radar_s001,11865,breath_rate,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,11932,0x0a38,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,11998,0x0a38,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,12063,0x0a38,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,12128,0x0a38,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,12193,0x0a38,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,12258,0x0a18,1,22.960,-0.098,-0.064,-0.149,2.000,,0
radar_s001,12324,phase,1,22.960,0.195,-0.024,0.240,2.000,,0
radar_s001,12396,0x0a38,1,22.960,0.195,-0.024,0.240,2.000,,0
radar_s001,12461,0x0a38,1,22.960,0.195,-0.024,0.240,2.000,,0
radar_s001,12526,phase,1,22.960,0.302,-0.021,-0.052,2.000,,0
radar_s001,12598,0x0a38,1,22.960,0.302,-0.021,-0.052,2.000,,0
radar_s001,12663,0x0a38,1,22.960,0.302,-0.021,-0.052,2.000,,0
radar_s001,12728,phase,1,22.960,-0.030,-0.023,-0.122,2.000,,0
radar_s001,12800,0x0a38,1,22.960,-0.030,-0.023,-0.122,2.000,,0
radar_s001,12866,0x0a38,1,22.960,-0.030,-0.023,-0.122,2.000,,0
radar_s001,12931,phase,1,22.960,-0.425,-0.025,0.160,2.000,,0
radar_s001,13003,text,1,22.960,-0.425,-0.025,0.160,2.000,,0
radar_s001,13074,0x0a38,1,22.960,-0.425,-0.025,0.160,2.000,,0
radar_s001,13139,0x0a38,1,22.960,-0.425,-0.025,0.160,2.000,,0
radar_s001,13205,human_status,1,22.960,-0.425,-0.025,0.160,2.000,,0
radar_s001,13271,phase,1,22.960,-0.363,-0.023,0.023,2.000,,0
radar_s001,13343,0x0a38,1,22.960,-0.363,-0.023,0.023,2.000,,0
radar_s001,13408,phase,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13480,0x0a38,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13546,0x0a38,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13611,0x0a38,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13676,0x0a38,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13741,0x0a38,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13806,target_range,1,22.960,-0.317,-0.020,0.250,2.000,,0
radar_s001,13875,phase,1,22.960,-0.179,-0.004,0.069,2.000,,0
radar_s001,13947,0x0a38,1,22.960,-0.179,-0.004,0.069,2.000,,0
radar_s001,14012,0x0a38,1,22.960,-0.179,-0.004,0.069,2.000,,0
radar_s001,14077,phase,1,22.960,0.101,-0.005,-0.002,2.000,,0
radar_s001,14149,0x0a38,1,22.960,0.101,-0.005,-0.002,2.000,,0
radar_s001,14215,0x0a38,1,22.960,0.101,-0.005,-0.002,2.000,,0
