device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,48604,69,1,5,97,-270,-278,,,,,,,,,,24203,21432,,
mic,48604,69,1,5,98,-233,-261,,,,,,,,,,24206,21432,,
mic,48604,69,1,5,99,-255,-274,,,,,,,,,,24208,21432,,
mic,48604,69,1,5,100,-249,-275,,,,,,,,,,24210,21432,,
mic,48604,69,1,5,101,-262,-296,,,,,,,,,,24213,21432,,
mic,48604,69,1,5,102,-237,-277,,,,,,,,,,24215,21432,,
mic,48604,69,1,5,103,-252,-295,,,,,,,,,,24217,21432,,
mic,48604,69,1,5,104,-212,-244,,,,,,,,,,24220,21432,,
mic,48604,69,1,5,105,-206,-258,,,,,,,,,,24222,21432,,
mic,48604,69,1,5,106,-218,-204,,,,,,,,,,24225,21432,,
mic,48604,69,1,5,107,-213,-275,,,,,,,,,,24227,21432,,
mic,48604,69,1,5,108,-242,-250,,,,,,,,,,24229,21432,,
mic,48604,69,1,5,109,-243,-258,,,,,,,,,,24232,21432,,
mic,48604,69,1,5,110,-227,-268,,,,,,,,,,24234,21432,,
mic,48604,69,1,5,111,-240,-244,,,,,,,,,,24237,21432,,
mic,48604,69,1,5,112,-211,-255,,,,,,,,,,24239,21432,,
mic,48604,69,1,5,113,-231,-218,,,,,,,,,,24241,21432,,
mic,48604,69,1,5,114,-256,-273,,,,,,,,,,24244,21432,,
mic,48604,69,1,5,115,-232,-272,,,,,,,,,,24246,21432,,
mic,48604,69,1,5,116,-206,-249,,,,,,,,,,24249,21432,,
mic,48604,69,1,5,117,-196,-250,,,,,,,,,,24251,21432,,
mic,48604,69,1,5,118,-204,-237,,,,,,,,,,24253,21432,,
mic,48604,69,1,5,119,-280,-269,,,,,,,,,,24256,21432,,
mic,48604,69,1,5,120,-309,-315,,,,,,,,,,24258,21432,,
mic,48604,69,1,5,121,-274,-341,,,,,,,,,,24261,21432,,
mic,48604,69,1,5,122,-302,-312,,,,,,,,,,24263,21432,,
mic,48604,69,1,5,123,-296,-340,,,,,,,,,,24265,21432,,
mic,48604,69,1,5,124,-284,-292,,,,,,,,,,24268,21432,,
mic,48604,69,1,5,125,-305,-309,,,,,,,,,,24270,21432,,
mic,48604,69,1,5,126,-250,-303,,,,,,,,,,24272,21432,,
mic,48604,69,1,5,127,-294,-326,,,,,,,,,,24275,21432,,
mic,48604,69,1,5,128,-313,-314,,,,,,,,,,24277,21432,,
mic,48604,69,1,5,129,-308,-351,,,,,,,,,,24280,21432,,
mic,48604,69,1,5,130,-292,-305,,,,,,,,,,24282,21432,,
mic,48604,69,1,5,131,-271,-332,,,,,,,,,,24284,21432,,
mic,48604,69,1,5,132,-271,-297,,,,,,,,,,24287,21432,,
mic,48604,69,1,5,133,-296,-321,,,,,,,,,,24289,21432,,
mic,48604,69,1,5,134,-286,-303,,,,,,,,,,24292,21432,,
mic,48604,69,1,5,135,-344,-329,,,,,,,,,,24294,21432,,
mic,48604,69,1,5,136,-327,-386,,,,,,,,,,24296,21432,,
mic,48604,69,1,5,137,-374,-403,,,,,,,,,,24299,21432,,
mic,48604,69,1,5,138,-360,-406,,,,,,,,,,24301,21432,,
